Componente,Ano,Valor,Região
Contribuição social,2010-01-01,"0,08772990804836124",Brasil
Contribuição social,2011-01-01,"0,08982899573209101",Brasil
Contribuição social,2012-01-01,"0,08969730578471227",Brasil
Contribuição social,2013-01-01,"0,09068596310643474",Brasil
Contribuição social,2014-01-01,"0,08910957047134739",Brasil
Contribuição social,2015-01-01,"0,09092584509756585",Brasil
Contribuição social,2016-01-01,"0,09142032447496788",Brasil
Contribuição social,2017-01-01,"0,09235197621919324",Brasil
Contribuição social,2018-01-01,"0,09044292512101061",Brasil
Contribuição social,2019-01-01,"0,09175463258128758",Brasil
Contribuição social,2020-01-01,"0,08678278232078601",Brasil
Contribuição social,2010-01-01,"0,09430518811532751",Nordeste
Contribuição social,2011-01-01,"0,09713289646579061",Nordeste
Contribuição social,2012-01-01,"0,09497216543059425",Nordeste
Contribuição social,2013-01-01,"0,09698225916824871",Nordeste
Contribuição social,2014-01-01,"0,09587618074206017",Nordeste
Contribuição social,2015-01-01,"0,09658806110310698",Nordeste
Contribuição social,2016-01-01,"0,09580986922310247",Nordeste
Contribuição social,2017-01-01,"0,09706730272141577",Nordeste
Contribuição social,2018-01-01,"0,09635448242922903",Nordeste
Contribuição social,2019-01-01,"0,09861701139766586",Nordeste
Contribuição social,2020-01-01,"0,09233394837966985",Nordeste
Contribuição social,2010-01-01,"0,09889691188882971",Sergipe
Contribuição social,2011-01-01,"0,10049669046290394",Sergipe
Contribuição social,2012-01-01,"0,0961166969814263",Sergipe
Contribuição social,2013-01-01,"0,1007309678734195",Sergipe
Contribuição social,2014-01-01,"0,10380534943940223",Sergipe
Contribuição social,2015-01-01,"0,10715509669430028",Sergipe
Contribuição social,2016-01-01,"0,10450805234248173",Sergipe
Contribuição social,2017-01-01,"0,10771134159463173",Sergipe
Contribuição social,2018-01-01,"0,10866252184381336",Sergipe
Contribuição social,2019-01-01,"0,10719090528268596",Sergipe
Contribuição social,2020-01-01,"0,10062746173286019",Sergipe
