exercicio,conta,valor,uf
2015-01-01,% da DCL sobre a RCL,"256,57",BR
2015-01-01,DÍVIDA CONSOLIDADA LÍQUIDA,"1730605708260,06",BR
2015-01-01,RECEITA CORRENTE LÍQUIDA,"674522742049,7",BR
2016-01-01,% da DCL sobre a RCL,"353,18",BR
2016-01-01,DÍVIDA CONSOLIDADA LÍQUIDA,"2551661763019,67",BR
2016-01-01,RECEITA CORRENTE LÍQUIDA,"722474299181,58",BR
2017-01-01,% da DCL sobre a RCL,"418,76",BR
2017-01-01,DÍVIDA CONSOLIDADA LÍQUIDA,"3045435184496,4",BR
2017-01-01,RECEITA CORRENTE LÍQUIDA,"727254323971,32",BR
2018-01-01,% da DCL sobre a RCL,"397,78",BR
2018-01-01,DÍVIDA CONSOLIDADA LÍQUIDA,"3203504178999,48",BR
2018-01-01,RECEITA CORRENTE LÍQUIDA,"805348403466,57",BR
2019-01-01,% da DCL sobre a RCL,"395,8",BR
2019-01-01,DÍVIDA CONSOLIDADA LÍQUIDA,"3584559934634,42",BR
2019-01-01,RECEITA CORRENTE LÍQUIDA,"905658589594,29",BR
2020-01-01,% da DCL sobre a RCL,"697,44",BR
2020-01-01,DÍVIDA CONSOLIDADA LÍQUIDA,"4546881864208,0",BR
2020-01-01,RECEITA CORRENTE LÍQUIDA,"651943266031,0",BR
2021-01-01,% da DCL sobre a RCL,"455,39",BR
2021-01-01,DÍVIDA CONSOLIDADA LÍQUIDA,"4838577401258,8",BR
2021-01-01,RECEITA CORRENTE LÍQUIDA,"1062519047775,45",BR
2022-01-01,% da DCL sobre a RCL,"414,33",BR
2022-01-01,DÍVIDA CONSOLIDADA LÍQUIDA,"5193373366492,0",BR
2022-01-01,RECEITA CORRENTE LÍQUIDA,"1253427306532,63",BR
2015-01-01,% da DCL sobre a RCL,"586,59",NE
2015-01-01,DÍVIDA CONSOLIDADA LÍQUIDA,"66889005543,67",NE
2015-01-01,RECEITA CORRENTE LÍQUIDA,"107997115365,88",NE
2016-01-01,% da DCL sobre a RCL,"454,86",NE
2016-01-01,DÍVIDA CONSOLIDADA LÍQUIDA,"61032184267,35",NE
2016-01-01,RECEITA CORRENTE LÍQUIDA,"119349112539,35",NE
2017-01-01,% da DCL sobre a RCL,"444,83000000000004",NE
2017-01-01,DÍVIDA CONSOLIDADA LÍQUIDA,"62166140602,44",NE
2017-01-01,RECEITA CORRENTE LÍQUIDA,"122262604277,55",NE
2018-01-01,% da DCL sobre a RCL,"495,61",NE
2018-01-01,DÍVIDA CONSOLIDADA LÍQUIDA,"74548232177,48",NE
2018-01-01,RECEITA CORRENTE LÍQUIDA,"130342486520,51",NE
2019-01-01,% da DCL sobre a RCL,"442,5",NE
2019-01-01,DÍVIDA CONSOLIDADA LÍQUIDA,"73246406902,44",NE
2019-01-01,RECEITA CORRENTE LÍQUIDA,"141953797667,45",NE
2020-01-01,% da DCL sobre a RCL,"382,65",NE
2020-01-01,DÍVIDA CONSOLIDADA LÍQUIDA,"72158682915,22",NE
2020-01-01,RECEITA CORRENTE LÍQUIDA,"156128766454,22",NE
2021-01-01,% da DCL sobre a RCL,"305,4",NE
2021-01-01,DÍVIDA CONSOLIDADA LÍQUIDA,"64060346923,659996",NE
2021-01-01,RECEITA CORRENTE LÍQUIDA,"179173247831,25",NE
2022-01-01,% da DCL sobre a RCL,"301,5",NE
2022-01-01,DÍVIDA CONSOLIDADA LÍQUIDA,"69959519574,18001",NE
2022-01-01,RECEITA CORRENTE LÍQUIDA,"212630215629,66998",NE
2015-01-01,% da DCL sobre a RCL,"69,03",SE
2015-01-01,DÍVIDA CONSOLIDADA LÍQUIDA,"4385703603,8",SE
2015-01-01,RECEITA CORRENTE LÍQUIDA,"6353339374,91",SE
2016-01-01,% da DCL sobre a RCL,"60,43",SE
2016-01-01,DÍVIDA CONSOLIDADA LÍQUIDA,"4101940899,04",SE
2016-01-01,RECEITA CORRENTE LÍQUIDA,"6787495872,54",SE
2017-01-01,% da DCL sobre a RCL,"57,99",SE
2017-01-01,DÍVIDA CONSOLIDADA LÍQUIDA,"3992519479,47",SE
2017-01-01,RECEITA CORRENTE LÍQUIDA,"6885059829,86",SE
2018-01-01,% da DCL sobre a RCL,"46,12",SE
2018-01-01,DÍVIDA CONSOLIDADA LÍQUIDA,"3400013691,54",SE
2018-01-01,RECEITA CORRENTE LÍQUIDA,"7371485136,67",SE
2019-01-01,% da DCL sobre a RCL,"45,88",SE
2019-01-01,DÍVIDA CONSOLIDADA LÍQUIDA,"3695263444,12",SE
2019-01-01,RECEITA CORRENTE LÍQUIDA,"8053614115,0",SE
2020-01-01,% da DCL sobre a RCL,"38,67",SE
2020-01-01,DÍVIDA CONSOLIDADA LÍQUIDA,"3364371947,53",SE
2020-01-01,RECEITA CORRENTE LÍQUIDA,"8724606234,62",SE
2021-01-01,% da DCL sobre a RCL,"29,4",SE
2021-01-01,DÍVIDA CONSOLIDADA LÍQUIDA,"2843275395,19",SE
2021-01-01,RECEITA CORRENTE LÍQUIDA,"9674448310,22",SE
2022-01-01,% da DCL sobre a RCL,"31,38",SE
2022-01-01,DÍVIDA CONSOLIDADA LÍQUIDA,"3543671294,86",SE
2022-01-01,RECEITA CORRENTE LÍQUIDA,"11296095375,56",SE
