Região/Unidade da Federação,Ano,Valor
Região Nordeste,2007-01-01,"3,69"
Sergipe,2007-01-01,"3,8"
Brasil,2007-01-01,"4,56"
Região Nordeste,2008-01-01,"2,41"
Sergipe,2008-01-01,"2,23"
Brasil,2008-01-01,"3,35"
Região Nordeste,2009-01-01,"2,61"
Sergipe,2009-01-01,"2,9"
Brasil,2009-01-01,"3,48"
Região Nordeste,2010-01-01,"2,65"
Sergipe,2010-01-01,"3,17"
Brasil,2010-01-01,"3,62"
Região Nordeste,2011-01-01,"2,88"
Sergipe,2011-01-01,"3,53"
Brasil,2011-01-01,"3,72"
Região Nordeste,2012-01-01,"3,08"
Sergipe,2012-01-01,"3,35"
Brasil,2012-01-01,"3,82"
Região Nordeste,2013-01-01,"3,24"
Sergipe,2013-01-01,"3,68"
Brasil,2013-01-01,"3,93"
Região Nordeste,2014-01-01,"3,32"
Sergipe,2014-01-01,"3,47"
Brasil,2014-01-01,"3,97"
Região Nordeste,2015-01-01,"3,61"
Sergipe,2015-01-01,"4,54"
Brasil,2015-01-01,"4,19"
Região Nordeste,2016-01-01,"3,83"
Sergipe,2016-01-01,"5,02"
Brasil,2016-01-01,"4,37"
Região Nordeste,2017-01-01,"3,75"
Sergipe,2017-01-01,"4,93"
Brasil,2017-01-01,"4,28"
Região Nordeste,2018-01-01,"3,64"
Sergipe,2018-01-01,"5,0"
Brasil,2018-01-01,"4,26"
Região Nordeste,2019-01-01,"3,76"
Sergipe,2019-01-01,"5,16"
Brasil,2019-01-01,"4,31"
Região Nordeste,2020-01-01,"5,11"
Sergipe,2020-01-01,"6,48"
Brasil,2020-01-01,"5,76"
Região Nordeste,2021-01-01,"5,46"
Sergipe,2021-01-01,"6,71"
Brasil,2021-01-01,"6,62"
Região Nordeste,2022-01-01,"4,26"
Sergipe,2022-01-01,"5,26"
Brasil,2022-01-01,"4,85"
Região Nordeste,2023-01-01,"3,85"
Sergipe,2023-01-01,"4,22"
Brasil,2023-01-01,"4,35"
